car,c a r,"Input: car Answer: c a r
"
food,f o o d,"Input: food Answer: f o o d
"
room,r o o m,"Input: room Answer: r o o m
"
movement,m o v e m e n t,"Input: movement Answer: m o v e m e n t
"
cost,c o s t,"Input: cost Answer: c o s t
"
river,r i v e r,"Input: river Answer: r i v e r
"
view,v i e w,"Input: view Answer: v i e w
"
language,l a n g u a g e,"Input: language Answer: l a n g u a g e
"
self,s e l f,"Input: self Answer: s e l f
"
staff,s t a f f,"Input: staff Answer: s t a f f
"
course,c o u r s e,"Input: course Answer: c o u r s e
"
experience,e x p e r i e n c e,"Input: experience Answer: e x p e r i e n c e
"
producer,p r o d u c e r,"Input: producer Answer: p r o d u c e r
"
research,r e s e a r c h,"Input: research Answer: r e s e a r c h
"
radio,r a d i o,"Input: radio Answer: r a d i o
"
space,s p a c e,"Input: space Answer: s p a c e
"
feature,f e a t u r e,"Input: feature Answer: f e a t u r e
"
division,d i v i s i o n,"Input: division Answer: d i v i s i o n
"
effect,e f f e c t,"Input: effect Answer: e f f e c t
"
leader,l e a d e r,"Input: leader Answer: l e a d e r
"
woman,w o m a n,"Input: woman Answer: w o m a n
"
voice,v o i c e,"Input: voice Answer: v o i c e
"
face,f a c e,"Input: face Answer: f a c e
"
gold,g o l d,"Input: gold Answer: g o l d
"
increase,i n c r e a s e,"Input: increase Answer: i n c r e a s e
"
friend,f r i e n d,"Input: friend Answer: f r i e n d
"
location,l o c a t i o n,"Input: location Answer: l o c a t i o n
"
status,s t a t u s,"Input: status Answer: s t a t u s
"
child,c h i l d,"Input: child Answer: c h i l d
"
report,r e p o r t,"Input: report Answer: r e p o r t
"
something,s o m e t h i n g,"Input: something Answer: s o m e t h i n g
"
village,v i l l a g e,"Input: village Answer: v i l l a g e
"
manager,m a n a g e r,"Input: manager Answer: m a n a g e r
"
majority,m a j o r i t y,"Input: majority Answer: m a j o r i t y
"
cause,c a u s e,"Input: cause Answer: c a u s e
"
act,a c t,"Input: act Answer: a c t
"
minute,m i n u t e,"Input: minute Answer: m i n u t e
"
meeting,m e e t i n g,"Input: meeting Answer: m e e t i n g
"
park,p a r k,"Input: park Answer: p a r k
"
nature,n a t u r e,"Input: nature Answer: n a t u r e
"
flight,f l i g h t,"Input: flight Answer: f l i g h t
"
information,i n f o r m a t i o n,"Input: information Answer: i n f o r m a t i o n
"
defeat,d e f e a t,"Input: defeat Answer: d e f e a t
"
singer,s i n g e r,"Input: singer Answer: s i n g e r
"
need,n e e d,"Input: need Answer: n e e d
"
industry,i n d u s t r y,"Input: industry Answer: i n d u s t r y
"
broadcast,b r o a d c a s t,"Input: broadcast Answer: b r o a d c a s t
"
interview,i n t e r v i e w,"Input: interview Answer: i n t e r v i e w
"
hour,h o u r,"Input: hour Answer: h o u r
"
audience,a u d i e n c e,"Input: audience Answer: a u d i e n c e
"
education,e d u c a t i o n,"Input: education Answer: e d u c a t i o n
"
trade,t r a d e,"Input: trade Answer: t r a d e
"
attention,a t t e n t i o n,"Input: attention Answer: a t t e n t i o n
"
operation,o p e r a t i o n,"Input: operation Answer: o p e r a t i o n
"
reach,r e a c h,"Input: reach Answer: r e a c h
"
officer,o f f i c e r,"Input: officer Answer: o f f i c e r
"
sister,s i s t e r,"Input: sister Answer: s i s t e r
"
ability,a b i l i t y,"Input: ability Answer: a b i l i t y
"
depression,d e p r e s s i o n,"Input: depression Answer: d e p r e s s i o n
"
pop,p o p,"Input: pop Answer: p o p
"
giving,g i v i n g,"Input: giving Answer: g i v i n g
"
deal,d e a l,"Input: deal Answer: d e a l
"
subject,s u b j e c t,"Input: subject Answer: s u b j e c t
"
commander,c o m m a n d e r,"Input: commander Answer: c o m m a n d e r
"
rate,r a t e,"Input: rate Answer: r a t e
"
produce,p r o d u c e,"Input: produce Answer: p r o d u c e
"
competition,c o m p e t i t i o n,"Input: competition Answer: c o m p e t i t i o n
"
unit,u n i t,"Input: unit Answer: u n i t
"
artist,a r t i s t,"Input: artist Answer: a r t i s t
"
energy,e n e r g y,"Input: energy Answer: e n e r g y
"
theme,t h e m e,"Input: theme Answer: t h e m e
"
wind,w i n d,"Input: wind Answer: w i n d
"
pass,p a s s,"Input: pass Answer: p a s s
"
centre,c e n t r e,"Input: centre Answer: c e n t r e
"
plot,p l o t,"Input: plot Answer: p l o t
"
access,a c c e s s,"Input: access Answer: a c c e s s
"
letter,l e t t e r,"Input: letter Answer: l e t t e r
"
practice,p r a c t i c e,"Input: practice Answer: p r a c t i c e
"
peak,p e a k,"Input: peak Answer: p e a k
"
capital,c a p i t a l,"Input: capital Answer: c a p i t a l
"
word,w o r d,"Input: word Answer: w o r d
"
edition,e d i t i o n,"Input: edition Answer: e d i t i o n
"
script,s c r i p t,"Input: script Answer: s c r i p t
"
health,h e a l t h,"Input: health Answer: h e a l t h
"
movie,m o v i e,"Input: movie Answer: m o v i e
"
network,n e t w o r k,"Input: network Answer: n e t w o r k
"
board,b o a r d,"Input: board Answer: b o a r d
"
effort,e f f o r t,"Input: effort Answer: e f f o r t
"
marriage,m a r r i a g e,"Input: marriage Answer: m a r r i a g e
"
college,c o l l e g e,"Input: college Answer: c o l l e g e
"
mass,m a s s,"Input: mass Answer: m a s s
"
cyclone,c y c l o n e,"Input: cyclone Answer: c y c l o n e
"
variety,v a r i e t y,"Input: variety Answer: v a r i e t y
"
morning,m o r n i n g,"Input: morning Answer: m o r n i n g
"
metal,m e t a l,"Input: metal Answer: m e t a l
"
combat,c o m b a t,"Input: combat Answer: c o m b a t
"
market,m a r k e t,"Input: market Answer: m a r k e t
"
coach,c o a c h,"Input: coach Answer: c o a c h
"
science,s c i e n c e,"Input: science Answer: s c i e n c e
"
source,s o u r c e,"Input: source Answer: s o u r c e
"
quality,q u a l i t y,"Input: quality Answer: q u a l i t y
"
fall,f a l l,"Input: fall Answer: f a l l
"
presence,p r e s e n c e,"Input: presence Answer: p r e s e n c e
"
oil,o i l,"Input: oil Answer: o i l
"
direction,d i r e c t i o n,"Input: direction Answer: d i r e c t i o n
"
break,b r e a k,"Input: break Answer: b r e a k
"
rule,r u l e,"Input: rule Answer: r u l e
"
enemy,e n e m y,"Input: enemy Answer: e n e m y
"
yard,y a r d,"Input: yard Answer: y a r d
"
concert,c o n c e r t,"Input: concert Answer: c o n c e r t
"
engine,e n g i n e,"Input: engine Answer: e n g i n e
"
traffic,t r a f f i c,"Input: traffic Answer: t r a f f i c
"
advance,a d v a n c e,"Input: advance Answer: a d v a n c e
"
mission,m i s s i o n,"Input: mission Answer: m i s s i o n
"
portion,p o r t i o n,"Input: portion Answer: p o r t i o n
"
scoring,s c o r i n g,"Input: scoring Answer: s c o r i n g
"
castle,c a s t l e,"Input: castle Answer: c a s t l e
"
property,p r o p e r t y,"Input: property Answer: p r o p e r t y
"
pair,p a i r,"Input: pair Answer: p a i r
"
award,a w a r d,"Input: award Answer: a w a r d
"
impact,i m p a c t,"Input: impact Answer: i m p a c t
"
call,c a l l,"Input: call Answer: c a l l
"
port,p o r t,"Input: port Answer: p o r t
"
approach,a p p r o a c h,"Input: approach Answer: a p p r o a c h
"
situation,s i t u a t i o n,"Input: situation Answer: s i t u a t i o n
"
distance,d i s t a n c e,"Input: distance Answer: d i s t a n c e
"
amount,a m o u n t,"Input: amount Answer: a m o u n t
"
test,t e s t,"Input: test Answer: t e s t
"
inch,i n c h,"Input: inch Answer: i n c h
"
actor,a c t o r,"Input: actor Answer: a c t o r
"
piece,p i e c e,"Input: piece Answer: p i e c e
"
dance,d a n c e,"Input: dance Answer: d a n c e
"
today,t o d a y,"Input: today Answer: t o d a y
"
train,t r a i n,"Input: train Answer: t r a i n
"
figure,f i g u r e,"Input: figure Answer: f i g u r e
"
trial,t r i a l,"Input: trial Answer: t r i a l
"
concept,c o n c e p t,"Input: concept Answer: c o n c e p t
"
scale,s c a l e,"Input: scale Answer: s c a l e
"
society,s o c i e t y,"Input: society Answer: s o c i e t y
"
job,j o b,"Input: job Answer: j o b
"
chief,c h i e f,"Input: chief Answer: c h i e f
"
author,a u t h o r,"Input: author Answer: a u t h o r
"
activity,a c t i v i t y,"Input: activity Answer: a c t i v i t y
"
policy,p o l i c y,"Input: policy Answer: p o l i c y
"
calling,c a l l i n g,"Input: calling Answer: c a l l i n g
"
cross,c r o s s,"Input: cross Answer: c r o s s
"
captain,c a p t a i n,"Input: captain Answer: c a p t a i n
"
account,a c c o u n t,"Input: account Answer: a c c o u n t
"
strength,s t r e n g t h,"Input: strength Answer: s t r e n g t h
"
plant,p l a n t,"Input: plant Answer: p l a n t
"
charge,c h a r g e,"Input: charge Answer: c h a r g e
"
county,c o u n t y,"Input: county Answer: c o u n t y
"
screen,s c r e e n,"Input: screen Answer: s c r e e n
"
wall,w a l l,"Input: wall Answer: w a l l
"
sense,s e n s e,"Input: sense Answer: s e n s e
"
pilot,p i l o t,"Input: pilot Answer: p i l o t
"
ice,i c e,"Input: ice Answer: i c e
"
reception,r e c e p t i o n,"Input: reception Answer: r e c e p t i o n
"
lot,l o t,"Input: lot Answer: l o t
"
winter,w i n t e r,"Input: winter Answer: w i n t e r
"
wing,w i n g,"Input: wing Answer: w i n g
"
focus,f o c u s,"Input: focus Answer: f o c u s
"
blood,b l o o d,"Input: blood Answer: b l o o d
"
weather,w e a t h e r,"Input: weather Answer: w e a t h e r
"
defense,d e f e n s e,"Input: defense Answer: d e f e n s e
"
student,s t u d e n t,"Input: student Answer: s t u d e n t
"
artillery,a r t i l l e r y,"Input: artillery Answer: a r t i l l e r y
"
executive,e x e c u t i v e,"Input: executive Answer: e x e c u t i v e
"
district,d i s t r i c t,"Input: district Answer: d i s t r i c t
"
image,i m a g e,"Input: image Answer: i m a g e
"
share,s h a r e,"Input: share Answer: s h a r e
"
border,b o r d e r,"Input: border Answer: b o r d e r
"
capture,c a p t u r e,"Input: capture Answer: c a p t u r e
"
injury,i n j u r y,"Input: injury Answer: i n j u r y
"
equipment,e q u i p m e n t,"Input: equipment Answer: e q u i p m e n t
"
organization,o r g a n i z a t i o n,"Input: organization Answer: o r g a n i z a t i o n
"
stone,s t o n e,"Input: stone Answer: s t o n e
"
growth,g r o w t h,"Input: growth Answer: g r o w t h
"
box,b o x,"Input: box Answer: b o x
"
husband,h u s b a n d,"Input: husband Answer: h u s b a n d
"
matter,m a t t e r,"Input: matter Answer: m a t t e r
"
content,c o n t e n t,"Input: content Answer: c o n t e n t
"
travel,t r a v e l,"Input: travel Answer: t r a v e l
"
heart,h e a r t,"Input: heart Answer: h e a r t
"
tournament,t o u r n a m e n t,"Input: tournament Answer: t o u r n a m e n t
"
conflict,c o n f l i c t,"Input: conflict Answer: c o n f l i c t
"
floor,f l o o r,"Input: floor Answer: f l o o r
"
couple,c o u p l e,"Input: couple Answer: c o u p l e
"
formation,f o r m a t i o n,"Input: formation Answer: f o r m a t i o n
"
reference,r e f e r e n c e,"Input: reference Answer: r e f e r e n c e
"
speech,s p e e c h,"Input: speech Answer: s p e e c h
"
territory,t e r r i t o r y,"Input: territory Answer: t e r r i t o r y
"
camp,c a m p,"Input: camp Answer: c a m p
"
value,v a l u e,"Input: value Answer: v a l u e
"
rainfall,r a i n f a l l,"Input: rainfall Answer: r a i n f a l l
"
championship,c h a m p i o n s h i p,"Input: championship Answer: c h a m p i o n s h i p
"
treatment,t r e a t m e n t,"Input: treatment Answer: t r e a t m e n t
"
university,u n i v e r s i t y,"Input: university Answer: u n i v e r s i t y
"
machine,m a c h i n e,"Input: machine Answer: m a c h i n e
"
guest,g u e s t,"Input: guest Answer: g u e s t
"
problem,p r o b l e m,"Input: problem Answer: p r o b l e m
"
reason,r e a s o n,"Input: reason Answer: r e a s o n
"
horse,h o r s e,"Input: horse Answer: h o r s e
"
governor,g o v e r n o r,"Input: governor Answer: g o v e r n o r
"
soundtrack,s o u n d t r a c k,"Input: soundtrack Answer: s o u n d t r a c k
"
offer,o f f e r,"Input: offer Answer: o f f e r
"
senior,s e n i o r,"Input: senior Answer: s e n i o r
"
background,b a c k g r o u n d,"Input: background Answer: b a c k g r o u n d
"
degree,d e g r e e,"Input: degree Answer: d e g r e e
"
railway,r a i l w a y,"Input: railway Answer: r a i l w a y
"
authority,a u t h o r i t y,"Input: authority Answer: a u t h o r i t y
"
birth,b i r t h,"Input: birth Answer: b i r t h
"
vote,v o t e,"Input: vote Answer: v o t e
"
website,w e b s i t e,"Input: website Answer: w e b s i t e
"
nothing,n o t h i n g,"Input: nothing Answer: n o t h i n g
"
filming,f i l m i n g,"Input: filming Answer: f i l m i n g
"
escape,e s c a p e,"Input: escape Answer: e s c a p e
"
capacity,c a p a c i t y,"Input: capacity Answer: c a p a c i t y
"
basis,b a s i s,"Input: basis Answer: b a s i s
"
fiction,f i c t i o n,"Input: fiction Answer: f i c t i o n
"
sequence,s e q u e n c e,"Input: sequence Answer: s e q u e n c e
"
weight,w e i g h t,"Input: weight Answer: w e i g h t
"
opposition,o p p o s i t i o n,"Input: opposition Answer: o p p o s i t i o n
"
newspaper,n e w s p a p e r,"Input: newspaper Answer: n e w s p a p e r
"
squadron,s q u a d r o n,"Input: squadron Answer: s q u a d r o n
"
risk,r i s k,"Input: risk Answer: r i s k
"
care,c a r e,"Input: care Answer: c a r e
"
contrast,c o n t r a s t,"Input: contrast Answer: c o n t r a s t
"
failure,f a i l u r e,"Input: failure Answer: f a i l u r e
"
nation,n a t i o n,"Input: nation Answer: n a t i o n
"
eye,e y e,"Input: eye Answer: e y e
"
threat,t h r e a t,"Input: threat Answer: t h r e a t
"
claim,c l a i m,"Input: claim Answer: c l a i m
"
supply,s u p p l y,"Input: supply Answer: s u p p l y
"
disease,d i s e a s e,"Input: disease Answer: d i s e a s e
"
drive,d r i v e,"Input: drive Answer: d r i v e
"
draft,d r a f t,"Input: draft Answer: d r a f t
"
bill,b i l l,"Input: bill Answer: b i l l
"
tower,t o w e r,"Input: tower Answer: t o w e r
"
administration,a d m i n i s t r a t i o n,"Input: administration Answer: a d m i n i s t r a t i o n
"
expansion,e x p a n s i o n,"Input: expansion Answer: e x p a n s i o n
"
boat,b o a t,"Input: boat Answer: b o a t
"
hospital,h o s p i t a l,"Input: hospital Answer: h o s p i t a l
"
leadership,l e a d e r s h i p,"Input: leadership Answer: l e a d e r s h i p
"
ring,r i n g,"Input: ring Answer: r i n g
"
management,m a n a g e m e n t,"Input: management Answer: m a n a g e m e n t
"
landing,l a n d i n g,"Input: landing Answer: l a n d i n g
"
data,d a t a,"Input: data Answer: d a t a
"
choice,c h o i c e,"Input: choice Answer: c h o i c e
"
silver,s i l v e r,"Input: silver Answer: s i l v e r
"
crossing,c r o s s i n g,"Input: crossing Answer: c r o s s i n g
"
fuel,f u e l,"Input: fuel Answer: f u e l
"
contact,c o n t a c t,"Input: contact Answer: c o n t a c t
"
gas,g a s,"Input: gas Answer: g a s
"
seat,s e a t,"Input: seat Answer: s e a t
"
girl,g i r l,"Input: girl Answer: g i r l
"
split,s p l i t,"Input: split Answer: s p l i t
"
committee,c o m m i t t e e,"Input: committee Answer: c o m m i t t e e
"
drama,d r a m a,"Input: drama Answer: d r a m a
"
sex,s e x,"Input: sex Answer: s e x
"
spring,s p r i n g,"Input: spring Answer: s p r i n g
"
beat,b e a t,"Input: beat Answer: b e a t
"
article,a r t i c l e,"Input: article Answer: a r t i c l e
"
animal,a n i m a l,"Input: animal Answer: a n i m a l
"
comedy,c o m e d y,"Input: comedy Answer: c o m e d y
"
transport,t r a n s p o r t,"Input: transport Answer: t r a n s p o r t
"
paper,p a p e r,"Input: paper Answer: p a p e r
"
leg,l e g,"Input: leg Answer: l e g
"
genus,g e n u s,"Input: genus Answer: g e n u s
"
flag,f l a g,"Input: flag Answer: f l a g
"
interchange,i n t e r c h a n g e,"Input: interchange Answer: i n t e r c h a n g e
"
purpose,p u r p o s e,"Input: purpose Answer: p u r p o s e
"
security,s e c u r i t y,"Input: security Answer: s e c u r i t y
"
infantry,i n f a n t r y,"Input: infantry Answer: i n f a n t r y
"
spread,s p r e a d,"Input: spread Answer: s p r e a d
"
search,s e a r c h,"Input: search Answer: s e a r c h
"
incident,i n c i d e n t,"Input: incident Answer: i n c i d e n t
"
mind,m i n d,"Input: mind Answer: m i n d
"
battalion,b a t t a l i o n,"Input: battalion Answer: b a t t a l i o n
"
text,t e x t,"Input: text Answer: t e x t
"
finish,f i n i s h,"Input: finish Answer: f i n i s h
"
critic,c r i t i c,"Input: critic Answer: c r i t i c
"
creation,c r e a t i o n,"Input: creation Answer: c r e a t i o n
"
mile,m i l e,"Input: mile Answer: m i l e
"
budget,b u d g e t,"Input: budget Answer: b u d g e t
"
flooding,f l o o d i n g,"Input: flooding Answer: f l o o d i n g
"
tradition,t r a d i t i o n,"Input: tradition Answer: t r a d i t i o n
"
arrival,a r r i v a l,"Input: arrival Answer: a r r i v a l
"
ceremony,c e r e m o n y,"Input: ceremony Answer: c e r e m o n y
"
