input,output,text
development,développement,"Input: development Answer: développement
"
result,résultat,"Input: result Answer: résultat
"
run,galoper,"Input: run Answer: galoper
"
week,semaine,"Input: week Answer: semaine
"
class,classe,"Input: class Answer: classe
"
force,force,"Input: force Answer: force
"
land,terre,"Input: land Answer: terre
"
house,maison,"Input: house Answer: maison
"
fire,feu,"Input: fire Answer: feu
"
television,télévision,"Input: television Answer: télévision
"
return,retour,"Input: return Answer: retour
"
head,tête,"Input: head Answer: tête
"
style,modèle,"Input: style Answer: modèle
"
design,design,"Input: design Answer: design
"
level,niveau,"Input: level Answer: niveau
"
success,succès,"Input: success Answer: succès
"
route,route,"Input: route Answer: route
"
member,membre,"Input: member Answer: membre
"
battle,lutte,"Input: battle Answer: lutte
"
addition,addition,"Input: addition Answer: addition
"
air,air,"Input: air Answer: air
"
road,chemin,"Input: road Answer: chemin
"
range,terrain,"Input: range Answer: terrain
"
age,âge,"Input: age Answer: âge
"
race,race,"Input: race Answer: race
"
body,corps,"Input: body Answer: corps
"
present,présent,"Input: present Answer: présent
"
action,action,"Input: action Answer: action
"
population,population,"Input: population Answer: population
"
campaign,campagne,"Input: campaign Answer: campagne
"
stage,scène,"Input: stage Answer: scène
"
station,chaîne,"Input: station Answer: chaîne
"
site,site,"Input: site Answer: site
"
law,loi,"Input: law Answer: loi
"
night,nuit,"Input: night Answer: nuit
"
construction,construction,"Input: construction Answer: construction
"
damage,dégât,"Input: damage Answer: dégât
"
case,cas,"Input: case Answer: cas
"
event,événement,"Input: event Answer: événement
"
scene,scène,"Input: scene Answer: scène
"
front,façade,"Input: front Answer: façade
"
ground,terre,"Input: ground Answer: terre
"
field,champ,"Input: field Answer: champ
"
region,région,"Input: region Answer: région
"
office,office,"Input: office Answer: office
"
example,exemple,"Input: example Answer: exemple
"
wife,femme,"Input: wife Answer: femme
"
army,armée,"Input: army Answer: armée
"
mother,mère,"Input: mother Answer: mère
"
project,projet,"Input: project Answer: projet
"
rest,repos,"Input: rest Answer: repos
"
highway,grande route,"Input: highway Answer: grande route
"
training,entraînement,"Input: training Answer: entraînement
"
rock,rocher,"Input: rock Answer: rocher
"
shot,tir,"Input: shot Answer: tir
"
process,procès,"Input: process Answer: procès
"
command,commande ; commande,"Input: command Answer: commande ; commande
"
month,mois,"Input: month Answer: mois
"
crew,équipage,"Input: crew Answer: équipage
"
studio,studio,"Input: studio Answer: studio
"
director,directeur,"Input: director Answer: directeur
"
hurricane,ouragan,"Input: hurricane Answer: ouragan
"
change,monnaie,"Input: change Answer: monnaie
"
appearance,apparence,"Input: appearance Answer: apparence
"
goal,but,"Input: goal Answer: but
"
relationship,relation,"Input: relationship Answer: relation
"
court,cour,"Input: court Answer: cour
"
chart,graphe,"Input: chart Answer: graphe
"
church,église,"Input: church Answer: église
"
attempt,attentat,"Input: attempt Answer: attentat
"
recording,enregistrement,"Input: recording Answer: enregistrement
"
sound,son,"Input: sound Answer: son
"
cast,jet,"Input: cast Answer: jet
"
base,base,"Input: base Answer: base
"
interest,intérêt,"Input: interest Answer: intérêt
"
term,terme,"Input: term Answer: terme
"
post,poste,"Input: post Answer: poste
"
art,art,"Input: art Answer: art
"
future,avenir,"Input: future Answer: avenir
"
league,ligue,"Input: league Answer: ligue
"
review,revue,"Input: review Answer: revue
"
section,section,"Input: section Answer: section
"
evidence,preuve,"Input: evidence Answer: preuve
"
brother,frère,"Input: brother Answer: frère
"
football,ballon de foot,"Input: football Answer: ballon de foot
"
election,élection,"Input: election Answer: élection
"
novel,roman,"Input: novel Answer: roman
"
coast,côte,"Input: coast Answer: côte
"
person,personne,"Input: person Answer: personne
"
sea,mer,"Input: sea Answer: mer
"
gun,fusil,"Input: gun Answer: fusil
"
hand,main,"Input: hand Answer: main
"
study,étude,"Input: study Answer: étude
"
response,réponse,"Input: response Answer: réponse
"
star,étoile,"Input: star Answer: étoile
"
decision,décision,"Input: decision Answer: décision
"
magazine,magasin,"Input: magazine Answer: magasin
"
issue,livraison ; délivrance,"Input: issue Answer: livraison ; délivrance
"
debut,première,"Input: debut Answer: première
"
program,programme,"Input: program Answer: programme
"
score,partition,"Input: score Answer: partition
"
money,argent,"Input: money Answer: argent
"
surface,surface,"Input: surface Answer: surface
"
turn,tour,"Input: turn Answer: tour
"
community,communauté,"Input: community Answer: communauté
"
king,roi,"Input: king Answer: roi
"
bridge,pont,"Input: bridge Answer: pont
"
plan,plan,"Input: plan Answer: plan
"
center,centre,"Input: center Answer: centre
"
business,entreprise,"Input: business Answer: entreprise
"
pressure,pression,"Input: pressure Answer: pression
"
percent,pour cent,"Input: percent Answer: pour cent
"
speed,vitesse,"Input: speed Answer: vitesse
"
president,président,"Input: president Answer: président
"
media,médias,"Input: media Answer: médias
"
summer,été,"Input: summer Answer: été
"
material,matériel,"Input: material Answer: matériel
"
cut,coupe,"Input: cut Answer: coupe
"
writer,écrivain,"Input: writer Answer: écrivain
"
date,rendez-vous,"Input: date Answer: rendez-vous
"
influence,influence,"Input: influence Answer: influence
"
fleet,flotte,"Input: fleet Answer: flotte
"
size,taille,"Input: size Answer: taille
"
structure,structure,"Input: structure Answer: structure
"
fact,fait,"Input: fact Answer: fait
"
past,passé,"Input: past Answer: passé
"
type,type,"Input: type Answer: type
"
daughter,fille,"Input: daughter Answer: fille
"
car,voiture,"Input: car Answer: voiture
"
food,aliment,"Input: food Answer: aliment
"
room,pièce,"Input: room Answer: pièce
"
movement,mouvement,"Input: movement Answer: mouvement
"
cost,coût,"Input: cost Answer: coût
"
river,torrent,"Input: river Answer: torrent
"
contract,contrat,"Input: contract Answer: contrat
"
view,vue,"Input: view Answer: vue
"
language,langage,"Input: language Answer: langage
"
staff,personnel,"Input: staff Answer: personnel
"
course,cours,"Input: course Answer: cours
"
experience,expérience,"Input: experience Answer: expérience
"
producer,producteur,"Input: producer Answer: producteur
"
research,recherche,"Input: research Answer: recherche
"
radio,radio,"Input: radio Answer: radio
"
space,espace,"Input: space Answer: espace
"
feature,fonctionnalité,"Input: feature Answer: fonctionnalité
"
division,division,"Input: division Answer: division
"
effect,effet,"Input: effect Answer: effet
"
leader,chef,"Input: leader Answer: chef
"
woman,femme,"Input: woman Answer: femme
"
voice,voix,"Input: voice Answer: voix
"
face,face,"Input: face Answer: face
"
gold,or,"Input: gold Answer: or
"
increase,augmentation,"Input: increase Answer: augmentation
"
friend,petit ami,"Input: friend Answer: petit ami
"
location,lieu,"Input: location Answer: lieu
"
status,statut,"Input: status Answer: statut
"
child,enfant,"Input: child Answer: enfant
"
report,rapport,"Input: report Answer: rapport
"
village,village,"Input: village Answer: village
"
majority,majorité,"Input: majority Answer: majorité
"
cause,cause,"Input: cause Answer: cause
"
act,acte,"Input: act Answer: acte
"
minute,minute,"Input: minute Answer: minute
"
meeting,réunion,"Input: meeting Answer: réunion
"
park,parc,"Input: park Answer: parc
"
nature,nature,"Input: nature Answer: nature
"
flight,vol,"Input: flight Answer: vol
"
information,renseignement,"Input: information Answer: renseignement
"
fight,bataille,"Input: fight Answer: bataille
"
defeat,défaite,"Input: defeat Answer: défaite
"
singer,chanteur,"Input: singer Answer: chanteur
"
need,besoin,"Input: need Answer: besoin
"
industry,industrie,"Input: industry Answer: industrie
"
guitar,guitare,"Input: guitar Answer: guitare
"
interview,entretien,"Input: interview Answer: entretien
"
hour,heure,"Input: hour Answer: heure
"
audience,audience,"Input: audience Answer: audience
"
education,éducation,"Input: education Answer: éducation
"
attention,attention,"Input: attention Answer: attention
"
operation,opération,"Input: operation Answer: opération
"
officer,officier,"Input: officer Answer: officier
"
sister,sœur,"Input: sister Answer: sœur
"
ability,habileté,"Input: ability Answer: habileté
"
depression,dépression,"Input: depression Answer: dépression
"
pop,pop,"Input: pop Answer: pop
"
deal,contrat,"Input: deal Answer: contrat
"
ball,balle,"Input: ball Answer: balle
"
subject,sujet,"Input: subject Answer: sujet
"
commander,commandeur,"Input: commander Answer: commandeur
"
rate,taux,"Input: rate Answer: taux
"
competition,concours,"Input: competition Answer: concours
"
unit,unité,"Input: unit Answer: unité
"
artist,artiste,"Input: artist Answer: artiste
"
model,modèle,"Input: model Answer: modèle
"
theme,thème,"Input: theme Answer: thème
"
wind,pet,"Input: wind Answer: pet
"
pass,laissez-passer,"Input: pass Answer: laissez-passer
"
plot,lopin,"Input: plot Answer: lopin
"
access,accès,"Input: access Answer: accès
"
letter,lettre,"Input: letter Answer: lettre
"
practice,pratique,"Input: practice Answer: pratique
"
capital,capital,"Input: capital Answer: capital
"
word,mot,"Input: word Answer: mot
"
edition,édition,"Input: edition Answer: édition
"
script,écriture,"Input: script Answer: écriture
"
health,santé,"Input: health Answer: santé
"
movie,cinéma,"Input: movie Answer: cinéma
"
network,réseau,"Input: network Answer: réseau
"
board,tableau,"Input: board Answer: tableau
"
effort,effort,"Input: effort Answer: effort
"
press,pressoir,"Input: press Answer: pressoir
"
marriage,mariage,"Input: marriage Answer: mariage
"
mass,masse,"Input: mass Answer: masse
"
culture,culture,"Input: culture Answer: culture
"
cyclone,cyclone,"Input: cyclone Answer: cyclone
"
variety,variété,"Input: variety Answer: variété
"
morning,matin,"Input: morning Answer: matin
"
metal,métal,"Input: metal Answer: métal
"
combat,combat,"Input: combat Answer: combat
"
coach,coche,"Input: coach Answer: coche
"
science,science,"Input: science Answer: science
"
source,source,"Input: source Answer: source
"
fall,chute,"Input: fall Answer: chute
"
presence,présence,"Input: presence Answer: présence
"
oil,huile,"Input: oil Answer: huile
"
direction,direction,"Input: direction Answer: direction
"
break,espace,"Input: break Answer: espace
"
rule,règle,"Input: rule Answer: règle
"
enemy,ennemi,"Input: enemy Answer: ennemi
"
yard,cour,"Input: yard Answer: cour
"
concert,concert,"Input: concert Answer: concert
"
engine,moteur,"Input: engine Answer: moteur
"
traffic,traite,"Input: traffic Answer: traite
"
advance,avance,"Input: advance Answer: avance
"
mission,mission,"Input: mission Answer: mission
"
portion,part,"Input: portion Answer: part
"
castle,château,"Input: castle Answer: château
"
property,propriété,"Input: property Answer: propriété
"
pair,paire,"Input: pair Answer: paire
"
award,prix,"Input: award Answer: prix
"
impact,impact sur,"Input: impact Answer: impact sur
"
collection,collection,"Input: collection Answer: collection
"
call,appel,"Input: call Answer: appel
"
port,port,"Input: port Answer: port
"
approach,approche,"Input: approach Answer: approche
"
situation,situation,"Input: situation Answer: situation
"
distance,distance,"Input: distance Answer: distance
"
amount,montant,"Input: amount Answer: montant
"
test,test,"Input: test Answer: test
"
inch,pouce,"Input: inch Answer: pouce
"
actor,acteur,"Input: actor Answer: acteur
"
piece,pièce,"Input: piece Answer: pièce
"
today,aujourd'hui,"Input: today Answer: aujourd'hui
"
train,caravane,"Input: train Answer: caravane
"
figure,figure,"Input: figure Answer: figure
"
trial,procès,"Input: trial Answer: procès
"
concept,concept,"Input: concept Answer: concept
"
scale,échelle,"Input: scale Answer: échelle
"
society,société,"Input: society Answer: société
"
job,tâche,"Input: job Answer: tâche
"
foot,pied,"Input: foot Answer: pied
"
author,auteur,"Input: author Answer: auteur
"
activity,activité,"Input: activity Answer: activité
"
policy,politique,"Input: policy Answer: politique
"
cross,croix,"Input: cross Answer: croix
"
captain,capitaine,"Input: captain Answer: capitaine
"
theory,théorie,"Input: theory Answer: théorie
"
account,compte,"Input: account Answer: compte
"
invasion,invasion,"Input: invasion Answer: invasion
"
strength,force,"Input: strength Answer: force
"
plant,matériel,"Input: plant Answer: matériel
"
charge,charge,"Input: charge Answer: charge
"
screen,écran,"Input: screen Answer: écran
"
wall,mur,"Input: wall Answer: mur
"
sense,sens,"Input: sense Answer: sens
"
pilot,pilote,"Input: pilot Answer: pilote
"
ice,glace,"Input: ice Answer: glace
"
reception,réception,"Input: reception Answer: réception
"
winter,hiver,"Input: winter Answer: hiver
"
focus,foyer,"Input: focus Answer: foyer
"
blood,sang,"Input: blood Answer: sang
"
weather,temps,"Input: weather Answer: temps
"
defense,défense,"Input: defense Answer: défense
"
student,étudiant,"Input: student Answer: étudiant
"
executive,exécutif,"Input: executive Answer: exécutif
"
district,district,"Input: district Answer: district
"
image,image,"Input: image Answer: image
"
share,part,"Input: share Answer: part
"
border,bordure,"Input: border Answer: bordure
"
injury,blessure,"Input: injury Answer: blessure
"
equipment,équipement,"Input: equipment Answer: équipement
"
organization,organisation,"Input: organization Answer: organisation
"
stone,pierre,"Input: stone Answer: pierre
"
quarter,quartier,"Input: quarter Answer: quartier
"
growth,croissance,"Input: growth Answer: croissance
"
box,boîte,"Input: box Answer: boîte
"
husband,mari,"Input: husband Answer: mari
"
matter,matière,"Input: matter Answer: matière
"
content,contenu,"Input: content Answer: contenu
"
travel,voyage,"Input: travel Answer: voyage
"
heart,cœur,"Input: heart Answer: cœur
"
tournament,tournoi,"Input: tournament Answer: tournoi
"
conflict,conflit,"Input: conflict Answer: conflit
"
floor,sol,"Input: floor Answer: sol
"
couple,quelques,"Input: couple Answer: quelques
"
reference,référence,"Input: reference Answer: référence
"
speech,discours,"Input: speech Answer: discours
"
territory,territoire,"Input: territory Answer: territoire
"
value,valeur,"Input: value Answer: valeur
"
rainfall,précipitations,"Input: rainfall Answer: précipitations
"
championship,championnat,"Input: championship Answer: championnat
"
treatment,traitement,"Input: treatment Answer: traitement
"
university,université,"Input: university Answer: université
"
machine,machine,"Input: machine Answer: machine
"
guest,invité,"Input: guest Answer: invité
"
problem,problème,"Input: problem Answer: problème
"
reason,raison,"Input: reason Answer: raison
"
horse,cavalerie,"Input: horse Answer: cavalerie
"
governor,gouverneur,"Input: governor Answer: gouverneur
"
soundtrack,bande son,"Input: soundtrack Answer: bande son
"
offer,offre,"Input: offer Answer: offre
"
senior,supérieur,"Input: senior Answer: supérieur
"
background,tâche de fond,"Input: background Answer: tâche de fond
"
degree,degré,"Input: degree Answer: degré
"
railway,chemin de fer,"Input: railway Answer: chemin de fer
"
authority,autorité,"Input: authority Answer: autorité
"
birth,naissance,"Input: birth Answer: naissance
"
vote,vote,"Input: vote Answer: vote
"
filming,tournage,"Input: filming Answer: tournage
"
escape,évasion,"Input: escape Answer: évasion
"
capacity,capacité,"Input: capacity Answer: capacité
"
basis,base,"Input: basis Answer: base
"
fiction,fiction,"Input: fiction Answer: fiction
"
sequence,suite,"Input: sequence Answer: suite
"
weight,poids,"Input: weight Answer: poids
"
opposition,opposition,"Input: opposition Answer: opposition
"
newspaper,journal,"Input: newspaper Answer: journal
"
squadron,escadron,"Input: squadron Answer: escadron
"
risk,risque,"Input: risk Answer: risque
"
care,souci,"Input: care Answer: souci
"
agreement,accord,"Input: agreement Answer: accord
"
contrast,contraste,"Input: contrast Answer: contraste
"
failure,échec,"Input: failure Answer: échec
"
nation,nation,"Input: nation Answer: nation
"
eye,œil,"Input: eye Answer: œil
"
threat,danger public,"Input: threat Answer: danger public
"
claim,réclamation,"Input: claim Answer: réclamation
"
supply,approvisionnement,"Input: supply Answer: approvisionnement
"
disease,maladie,"Input: disease Answer: maladie
"
drive,lecteur,"Input: drive Answer: lecteur
"
draft,gorgée,"Input: draft Answer: gorgée
"
bill,facture,"Input: bill Answer: facture
"
tower,la maison dieu,"Input: tower Answer: la maison dieu
"
administration,administration,"Input: administration Answer: administration
"
personnel,personnel,"Input: personnel Answer: personnel
"
expansion,expansion,"Input: expansion Answer: expansion
"
boat,bateau,"Input: boat Answer: bateau
"
hospital,hôpital,"Input: hospital Answer: hôpital
"
ring,anneau,"Input: ring Answer: anneau
"
management,administration,"Input: management Answer: administration
"
landing,palier,"Input: landing Answer: palier
"
data,données,"Input: data Answer: données
"
choice,choix,"Input: choice Answer: choix
"
northwest,nord-ouest,"Input: northwest Answer: nord-ouest
"
silver,argenterie,"Input: silver Answer: argenterie
"
crossing,carrefour,"Input: crossing Answer: carrefour
"
fuel,carburant,"Input: fuel Answer: carburant
"
contact,contact,"Input: contact Answer: contact
"
gas,gaz,"Input: gas Answer: gaz
"
seat,assise,"Input: seat Answer: assise
"
girl,servante,"Input: girl Answer: servante
"
committee,tuteur,"Input: committee Answer: tuteur
"
drama,drame,"Input: drama Answer: drame
"
sex,sexe,"Input: sex Answer: sexe
"
spring,ressort,"Input: spring Answer: ressort
"
article,article,"Input: article Answer: article
"
animal,bête,"Input: animal Answer: bête
"
comedy,comédie,"Input: comedy Answer: comédie
"
transport,transport,"Input: transport Answer: transport
"
paper,papier,"Input: paper Answer: papier
"
genus,genre,"Input: genus Answer: genre
"
flag,drapeau,"Input: flag Answer: drapeau
"
interchange,échangeur autoroutier,"Input: interchange Answer: échangeur autoroutier
"
purpose,intention,"Input: purpose Answer: intention
"
security,sécurité,"Input: security Answer: sécurité
"
infantry,infanterie,"Input: infantry Answer: infanterie
"
search,recherche,"Input: search Answer: recherche
"
incident,incident,"Input: incident Answer: incident
"
mind,esprit,"Input: mind Answer: esprit
"
battalion,bataillon,"Input: battalion Answer: bataillon
"
text,texte,"Input: text Answer: texte
"
finish,fin,"Input: finish Answer: fin
"
critic,critique ; détracteur,"Input: critic Answer: critique ; détracteur
"
creation,création,"Input: creation Answer: création
"
mile,mille,"Input: mile Answer: mille
"
budget,budget,"Input: budget Answer: budget
"
tradition,tradition,"Input: tradition Answer: tradition
"
arrival,arrivée,"Input: arrival Answer: arrivée
"
ceremony,cérémonie,"Input: ceremony Answer: cérémonie
"
condition,condition,"Input: condition Answer: condition
"
thing,chose,"Input: thing Answer: chose
"
color,couleur,"Input: color Answer: couleur
"
intensity,intensité,"Input: intensity Answer: intensité
"
street,rue,"Input: street Answer: rue
"
session,session,"Input: session Answer: session
"
wave,vague,"Input: wave Answer: vague
"
piano,piano,"Input: piano Answer: piano
"
criticism,critique,"Input: criticism Answer: critique
"
planet,planète,"Input: planet Answer: planète
"
reign,règne,"Input: reign Answer: règne
"
murder,meurtre,"Input: murder Answer: meurtre
"
selection,sélection,"Input: selection Answer: sélection
"
computer,ordinateur,"Input: computer Answer: ordinateur
"
council,conseil,"Input: council Answer: conseil
"
comic,bande dessinée,"Input: comic Answer: bande dessinée
"
peace,paix,"Input: peace Answer: paix
"
opportunity,opportunité,"Input: opportunity Answer: opportunité
"
question,question,"Input: question Answer: question
"
analysis,analyse,"Input: analysis Answer: analyse
"
shooting,tir,"Input: shooting Answer: tir
"
display,représentation,"Input: display Answer: représentation
"
deck,jeu de cartes,"Input: deck Answer: jeu de cartes
"
advantage,avantage,"Input: advantage Answer: avantage
"
conference,conférence,"Input: conference Answer: conférence
"
fan,fan,"Input: fan Answer: fan
"
prison,prison,"Input: prison Answer: prison
"
host,hôte,"Input: host Answer: hôte
"
volume,volume,"Input: volume Answer: volume
"
protection,protection,"Input: protection Answer: protection
"
target,cible,"Input: target Answer: cible
"
expedition,expédition,"Input: expedition Answer: expédition
"
publication,publication,"Input: publication Answer: publication
"
temperature,température,"Input: temperature Answer: température
"
economy,économie,"Input: economy Answer: économie
"
edge,bord,"Input: edge Answer: bord
"
intersection,intersection,"Input: intersection Answer: intersection
"
motion,mouvement,"Input: motion Answer: mouvement
"
chance,raccroc,"Input: chance Answer: raccroc
"
label,étiquette,"Input: label Answer: étiquette
"
gain,gain,"Input: gain Answer: gain
"
element,élément,"Input: element Answer: élément
"
rear,arrière,"Input: rear Answer: arrière
"
literature,littérature,"Input: literature Answer: littérature
"
strike,strike,"Input: strike Answer: strike
"
technology,technologie,"Input: technology Answer: technologie
"
adult,adulte,"Input: adult Answer: adulte
"
resistance,résistance,"Input: resistance Answer: résistance
"
launch,lancement,"Input: launch Answer: lancement
"
shape,forme,"Input: shape Answer: forme
"
sign,signe,"Input: sign Answer: signe
"
tax,impôt,"Input: tax Answer: impôt
"
agent,agent,"Input: agent Answer: agent
"
popularity,popularité,"Input: popularity Answer: popularité
"
reaction,réaction,"Input: reaction Answer: réaction
"
editor,rédacteur,"Input: editor Answer: rédacteur
"
reputation,réputation,"Input: reputation Answer: réputation
"
estate,domaine,"Input: estate Answer: domaine
"
poem,poème,"Input: poem Answer: poème
"
southeast,sud-est,"Input: southeast Answer: sud-est
"
height,hauteur,"Input: height Answer: hauteur
"
alternative,alternative,"Input: alternative Answer: alternative
"
opinion,avis,"Input: opinion Answer: avis
"
steel,acier,"Input: steel Answer: acier
"
cricket,cricket,"Input: cricket Answer: cricket
"
lap,côté,"Input: lap Answer: côté
"
safety,sécurité,"Input: safety Answer: sécurité
"
existence,existence,"Input: existence Answer: existence
"
introduction,introduction,"Input: introduction Answer: introduction
"
promotion,promotion,"Input: promotion Answer: promotion
"
branch,branche,"Input: branch Answer: branche
"
product,produit,"Input: product Answer: produit
"
exchange,échange,"Input: exchange Answer: échange
"
defence,défense,"Input: defence Answer: défense
"
baseball,balle de baseball,"Input: baseball Answer: balle de baseball
"
platform,scène,"Input: platform Answer: scène
"
mouth,embouchure,"Input: mouth Answer: embouchure
"
request,requête,"Input: request Answer: requête
"
moment,moment,"Input: moment Answer: moment
"
freeway,autoroute,"Input: freeway Answer: autoroute
"
settlement,colonie,"Input: settlement Answer: colonie
"
note,note,"Input: note Answer: note
"
description,signalement,"Input: description Answer: signalement
"
method,méthode,"Input: method Answer: méthode
"
environment,environnement,"Input: environment Answer: environnement
"
iron,fer,"Input: iron Answer: fer
"
genre,genre,"Input: genre Answer: genre
"
composition,composition,"Input: composition Answer: composition
"
reserve,réserve,"Input: reserve Answer: réserve
"
bank,banque,"Input: bank Answer: banque
"
southwest,sud-ouest,"Input: southwest Answer: sud-ouest
"
rain,pluie,"Input: rain Answer: pluie
"
violence,violence,"Input: violence Answer: violence
"
function,fonction,"Input: function Answer: fonction
"
assault,assaut,"Input: assault Answer: assaut
"
battery,batterie,"Input: battery Answer: batterie
"
coal,charbon,"Input: coal Answer: charbon
"
candidate,candidat,"Input: candidate Answer: candidat
"
table,tableau,"Input: table Answer: tableau
"
distribution,distribution,"Input: distribution Answer: distribution
"
independence,indépendance,"Input: independence Answer: indépendance
"
entrance,entrée,"Input: entrance Answer: entrée
"
combination,combinaison,"Input: combination Answer: combinaison
"
forest,forêt,"Input: forest Answer: forêt
"
camera,appareil photo,"Input: camera Answer: appareil photo
"
stadium,stade,"Input: stadium Answer: stade
"
appeal,appel,"Input: appeal Answer: appel
"
cell,cellule,"Input: cell Answer: cellule
"
decade,dizaine,"Input: decade Answer: dizaine
"
boy,garçon,"Input: boy Answer: garçon
"
winner,gagnant,"Input: winner Answer: gagnant
"
evening,crépuscule,"Input: evening Answer: crépuscule
"
investigation,investigation,"Input: investigation Answer: investigation
"
message,message,"Input: message Answer: message
"
proposal,proposition,"Input: proposal Answer: proposition
"
trip,faux pas,"Input: trip Answer: faux pas
"
bit,mors,"Input: bit Answer: mors
"
duty,devoir,"Input: duty Answer: devoir
"
bomb,bombe,"Input: bomb Answer: bombe
"
phase,phase,"Input: phase Answer: phase
"
religion,religion,"Input: religion Answer: religion
"
hair,cheveu,"Input: hair Answer: cheveu
"
controversy,controverse,"Input: controversy Answer: controverse
"
hall,salle,"Input: hall Answer: salle
"
tail,queue,"Input: tail Answer: queue
"
importance,importance,"Input: importance Answer: importance
"
actress,actrice,"Input: actress Answer: actrice
"
bird,oiseau,"Input: bird Answer: oiseau
"
owner,propriétaire,"Input: owner Answer: propriétaire
"
steam,vapeur,"Input: steam Answer: vapeur
"
opera,opéra,"Input: opera Answer: opéra
"
crime,crime,"Input: crime Answer: crime
"
composer,compositeur,"Input: composer Answer: compositeur
"
transfer,transfert,"Input: transfer Answer: transfert
"
price,prix,"Input: price Answer: prix
"
mountain,montagne,"Input: mountain Answer: montagne
"
extension,extension,"Input: extension Answer: extension
"
roof,toit,"Input: roof Answer: toit
"
driving,conduite,"Input: driving Answer: conduite
"
identity,identité,"Input: identity Answer: identité
"
bottom,fond,"Input: bottom Answer: fond
"
zone,zone,"Input: zone Answer: zone
"
challenge,défi,"Input: challenge Answer: défi
"
lane,voie,"Input: lane Answer: voie
"
rail,rail,"Input: rail Answer: rail
"
principal,principal,"Input: principal Answer: principal
"
hotel,hôtel,"Input: hotel Answer: hôtel
"
relief,relief,"Input: relief Answer: relief
"
debate,débat,"Input: debate Answer: débat
"
depth,profondeur,"Input: depth Answer: profondeur
"
purchase,achat,"Input: purchase Answer: achat
"
departure,déviation,"Input: departure Answer: déviation
"
income,revenu,"Input: income Answer: revenu
"
decline,déclin,"Input: decline Answer: déclin
"
accident,accident,"Input: accident Answer: accident
"
recognition,reconnaissance,"Input: recognition Answer: reconnaissance
"
connection,connexion,"Input: connection Answer: connexion
"
mode,mode,"Input: mode Answer: mode
"
progress,progrès,"Input: progress Answer: progrès
"
sequel,suite,"Input: sequel Answer: suite
"
disc,disque,"Input: disc Answer: disque
"
museum,musée,"Input: museum Answer: musée
"
armor,armure,"Input: armor Answer: armure
"
measure,mesure,"Input: measure Answer: mesure
"
department,ministère,"Input: department Answer: ministère
"
demand,demande,"Input: demand Answer: demande
"
spot,tache,"Input: spot Answer: tache
"
tank,réservoir,"Input: tank Answer: réservoir
"
intelligence,renseignements,"Input: intelligence Answer: renseignements
"
