input,output,text
company,Gesellschaft,"Input: company Answer: Gesellschaft
"
position,Position,"Input: position Answer: Position
"
order,Ordnung,"Input: order Answer: Ordnung
"
attack,Attacke,"Input: attack Answer: Attacke
"
building,Bau,"Input: building Answer: Bau
"
town,Stadt,"Input: town Answer: Stadt
"
performance,Leistung,"Input: performance Answer: Leistung
"
country,Land ; Staat ; Vaterland,"Input: country Answer: Land ; Staat ; Vaterland
"
west,West,"Input: west Answer: West
"
service,Service,"Input: service Answer: Service
"
father,Vater,"Input: father Answer: Vater
"
track,Spurweite,"Input: track Answer: Spurweite
"
club,Klub,"Input: club Answer: Klub
"
control,Kontrolle,"Input: control Answer: Kontrolle
"
development,Entwicklung,"Input: development Answer: Entwicklung
"
result,Ergebnis,"Input: result Answer: Ergebnis
"
run,Lauf,"Input: run Answer: Lauf
"
week,Woche,"Input: week Answer: Woche
"
class,Klasse,"Input: class Answer: Klasse
"
force,Kraft,"Input: force Answer: Kraft
"
land,Land,"Input: land Answer: Land
"
house,Haus,"Input: house Answer: Haus
"
fire,Feuer,"Input: fire Answer: Feuer
"
television,Fernsehen,"Input: television Answer: Fernsehen
"
return,Rückkehr,"Input: return Answer: Rückkehr
"
head,Kopf,"Input: head Answer: Kopf
"
style,Stil,"Input: style Answer: Stil
"
design,Entwurf,"Input: design Answer: Entwurf
"
level,Stufe,"Input: level Answer: Stufe
"
success,Erfolg,"Input: success Answer: Erfolg
"
route,Route,"Input: route Answer: Route
"
member,Glied,"Input: member Answer: Glied
"
battle,Schlacht,"Input: battle Answer: Schlacht
"
addition,Zufügung,"Input: addition Answer: Zufügung
"
air,Luft,"Input: air Answer: Luft
"
road,Straße,"Input: road Answer: Straße
"
range,Übungsplatz,"Input: range Answer: Übungsplatz
"
age,Alter,"Input: age Answer: Alter
"
race,Rasse,"Input: race Answer: Rasse
"
body,Körper,"Input: body Answer: Körper
"
present,Gegenwart,"Input: present Answer: Gegenwart
"
action,Action,"Input: action Answer: Action
"
population,Bevölkerung,"Input: population Answer: Bevölkerung
"
campaign,Kampagne,"Input: campaign Answer: Kampagne
"
stage,Bühne,"Input: stage Answer: Bühne
"
station,Bahnhof,"Input: station Answer: Bahnhof
"
site,Webseite,"Input: site Answer: Webseite
"
law,Gesetz,"Input: law Answer: Gesetz
"
night,Nacht,"Input: night Answer: Nacht
"
construction,Bau,"Input: construction Answer: Bau
"
damage,Schaden,"Input: damage Answer: Schaden
"
case,Fall,"Input: case Answer: Fall
"
event,Ereignis,"Input: event Answer: Ereignis
"
scene,Szene,"Input: scene Answer: Szene
"
front,Front,"Input: front Answer: Front
"
ground,Erde,"Input: ground Answer: Erde
"
field,Feld,"Input: field Answer: Feld
"
region,Gegend,"Input: region Answer: Gegend
"
office,Amt,"Input: office Answer: Amt
"
example,Beispiel,"Input: example Answer: Beispiel
"
wife,Ehefrau,"Input: wife Answer: Ehefrau
"
army,Heeresamt,"Input: army Answer: Heeresamt
"
mother,Mutter,"Input: mother Answer: Mutter
"
project,Projekt,"Input: project Answer: Projekt
"
rest,Ruhe,"Input: rest Answer: Ruhe
"
highway,Hauptstraße,"Input: highway Answer: Hauptstraße
"
training,Ausbildung,"Input: training Answer: Ausbildung
"
rock,Fels,"Input: rock Answer: Fels
"
shot,Wurf,"Input: shot Answer: Wurf
"
process,Prozess,"Input: process Answer: Prozess
"
command,Befehl,"Input: command Answer: Befehl
"
month,Monat,"Input: month Answer: Monat
"
crew,Haufen,"Input: crew Answer: Haufen
"
studio,Studio,"Input: studio Answer: Studio
"
director,Direktor,"Input: director Answer: Direktor
"
hurricane,Orkan,"Input: hurricane Answer: Orkan
"
change,Rückgeld,"Input: change Answer: Rückgeld
"
appearance,Aussehen,"Input: appearance Answer: Aussehen
"
goal,Tor,"Input: goal Answer: Tor
"
relationship,Beziehung,"Input: relationship Answer: Beziehung
"
court,Gericht,"Input: court Answer: Gericht
"
chart,Karte,"Input: chart Answer: Karte
"
church,Kirche,"Input: church Answer: Kirche
"
attempt,Anschlag,"Input: attempt Answer: Anschlag
"
recording,Aufnahme,"Input: recording Answer: Aufnahme
"
sound,Sonde,"Input: sound Answer: Sonde
"
cast,Cast,"Input: cast Answer: Cast
"
base,Basis,"Input: base Answer: Basis
"
interest,Interesse,"Input: interest Answer: Interesse
"
term,Klausel,"Input: term Answer: Klausel
"
post,Stelle,"Input: post Answer: Stelle
"
art,Kunstwerk,"Input: art Answer: Kunstwerk
"
future,Futur,"Input: future Answer: Futur
"
league,Liga,"Input: league Answer: Liga
"
review,Rezension,"Input: review Answer: Rezension
"
section,Abschnitt,"Input: section Answer: Abschnitt
"
evidence,Beweismittel,"Input: evidence Answer: Beweismittel
"
brother,Bruder,"Input: brother Answer: Bruder
"
football,Fußball,"Input: football Answer: Fußball
"
election,Wahl,"Input: election Answer: Wahl
"
novel,Roman,"Input: novel Answer: Roman
"
coast,Küste,"Input: coast Answer: Küste
"
person,Person,"Input: person Answer: Person
"
sea,Meer,"Input: sea Answer: Meer
"
gun,Geschütz,"Input: gun Answer: Geschütz
"
hand,Hand,"Input: hand Answer: Hand
"
study,Studie,"Input: study Answer: Studie
"
response,Antwort,"Input: response Answer: Antwort
"
star,Sternchen,"Input: star Answer: Sternchen
"
decision,Entscheidung,"Input: decision Answer: Entscheidung
"
magazine,Magazin,"Input: magazine Answer: Magazin
"
debut,Debüt,"Input: debut Answer: Debüt
"
program,Programm,"Input: program Answer: Programm
"
score,Partitur,"Input: score Answer: Partitur
"
money,Geld,"Input: money Answer: Geld
"
surface,Oberfläche,"Input: surface Answer: Oberfläche
"
turn,Drehung,"Input: turn Answer: Drehung
"
community,Gemeinschaft,"Input: community Answer: Gemeinschaft
"
length,Länge,"Input: length Answer: Länge
"
bridge,Brücke,"Input: bridge Answer: Brücke
"
plan,Plan,"Input: plan Answer: Plan
"
center,Zentrum,"Input: center Answer: Zentrum
"
business,Geschäft,"Input: business Answer: Geschäft
"
pressure,Druck,"Input: pressure Answer: Druck
"
percent,Prozent,"Input: percent Answer: Prozent
"
speed,Filmempfindlichkeit,"Input: speed Answer: Filmempfindlichkeit
"
president,Präsident,"Input: president Answer: Präsident
"
media,Medien,"Input: media Answer: Medien
"
summer,Sommer,"Input: summer Answer: Sommer
"
material,Material,"Input: material Answer: Material
"
cut,Schnitt,"Input: cut Answer: Schnitt
"
writer,Schriftsteller,"Input: writer Answer: Schriftsteller
"
date,Datum,"Input: date Answer: Datum
"
influence,Einfluss,"Input: influence Answer: Einfluss
"
fleet,Flotte,"Input: fleet Answer: Flotte
"
size,Größe,"Input: size Answer: Größe
"
structure,Struktur,"Input: structure Answer: Struktur
"
fact,Faktum,"Input: fact Answer: Faktum
"
past,Vergangenheit,"Input: past Answer: Vergangenheit
"
type,Typ,"Input: type Answer: Typ
"
daughter,Tochter,"Input: daughter Answer: Tochter
"
car,Auto,"Input: car Answer: Auto
"
food,Nahrung,"Input: food Answer: Nahrung
"
room,Raum,"Input: room Answer: Raum
"
movement,Bewegung,"Input: movement Answer: Bewegung
"
cost,Kosten,"Input: cost Answer: Kosten
"
river,Strom,"Input: river Answer: Strom
"
contract,Vertrag,"Input: contract Answer: Vertrag
"
view,Sicht,"Input: view Answer: Sicht
"
language,Sprache,"Input: language Answer: Sprache
"
self,Selbst,"Input: self Answer: Selbst
"
course,Kurs,"Input: course Answer: Kurs
"
experience,Erlebnis,"Input: experience Answer: Erlebnis
"
producer,Produzent,"Input: producer Answer: Produzent
"
research,Forschung,"Input: research Answer: Forschung
"
radio,Radio,"Input: radio Answer: Radio
"
space,Raum,"Input: space Answer: Raum
"
feature,Besonderheit,"Input: feature Answer: Besonderheit
"
division,Teilung,"Input: division Answer: Teilung
"
effect,Effekt,"Input: effect Answer: Effekt
"
leader,Leittier,"Input: leader Answer: Leittier
"
woman,Frau,"Input: woman Answer: Frau
"
voice,Stimme,"Input: voice Answer: Stimme
"
face,Gesicht,"Input: face Answer: Gesicht
"
gold,Goldmünze,"Input: gold Answer: Goldmünze
"
increase,Ansteigen,"Input: increase Answer: Ansteigen
"
friend,Freund,"Input: friend Answer: Freund
"
location,Lage,"Input: location Answer: Lage
"
status,Status,"Input: status Answer: Status
"
child,Kind,"Input: child Answer: Kind
"
report,Bericht,"Input: report Answer: Bericht
"
village,Dorf,"Input: village Answer: Dorf
"
manager,Direktor,"Input: manager Answer: Direktor
"
majority,Erwachsenenalter,"Input: majority Answer: Erwachsenenalter
"
cause,Sache,"Input: cause Answer: Sache
"
act,Akt,"Input: act Answer: Akt
"
minute,Minute,"Input: minute Answer: Minute
"
meeting,Versammlung,"Input: meeting Answer: Versammlung
"
park,Park,"Input: park Answer: Park
"
nature,Natur,"Input: nature Answer: Natur
"
flight,Flug,"Input: flight Answer: Flug
"
information,Information,"Input: information Answer: Information
"
fight,Kampf,"Input: fight Answer: Kampf
"
defeat,Niederlage,"Input: defeat Answer: Niederlage
"
singer,Sänger,"Input: singer Answer: Sänger
"
need,Notwendigkeit,"Input: need Answer: Notwendigkeit
"
industry,Branche,"Input: industry Answer: Branche
"
guitar,Gitarre,"Input: guitar Answer: Gitarre
"
interview,Vorstellungsgespräch,"Input: interview Answer: Vorstellungsgespräch
"
hour,Zeit,"Input: hour Answer: Zeit
"
audience,Publikum,"Input: audience Answer: Publikum
"
education,Bildung,"Input: education Answer: Bildung
"
attention,Aufmerksamkeit,"Input: attention Answer: Aufmerksamkeit
"
operation,Betrieb,"Input: operation Answer: Betrieb
"
officer,Offizier,"Input: officer Answer: Offizier
"
sister,Schwester,"Input: sister Answer: Schwester
"
ability,Fähigkeit,"Input: ability Answer: Fähigkeit
"
depression,Depression,"Input: depression Answer: Depression
"
deal,Pakt,"Input: deal Answer: Pakt
"
ball,Kugel,"Input: ball Answer: Kugel
"
subject,Untertan,"Input: subject Answer: Untertan
"
commander,Befehlshaber,"Input: commander Answer: Befehlshaber
"
rate,Rate,"Input: rate Answer: Rate
"
produce,Obst und Gemüse,"Input: produce Answer: Obst und Gemüse
"
competition,Konkurrenz,"Input: competition Answer: Konkurrenz
"
unit,Einheit,"Input: unit Answer: Einheit
"
artist,Künstler,"Input: artist Answer: Künstler
"
model,Modell,"Input: model Answer: Modell
"
theme,Thema,"Input: theme Answer: Thema
"
wind,Wind,"Input: wind Answer: Wind
"
pass,Pass,"Input: pass Answer: Pass
"
plot,Handlung,"Input: plot Answer: Handlung
"
access,Zugang,"Input: access Answer: Zugang
"
letter,Buchstabe,"Input: letter Answer: Buchstabe
"
practice,Praxis,"Input: practice Answer: Praxis
"
capital,Kapital,"Input: capital Answer: Kapital
"
word,Wort,"Input: word Answer: Wort
"
edition,Ausgabe,"Input: edition Answer: Ausgabe
"
script,Schrift,"Input: script Answer: Schrift
"
health,Gesundheit,"Input: health Answer: Gesundheit
"
movie,Film,"Input: movie Answer: Film
"
network,Netzwerk,"Input: network Answer: Netzwerk
"
board,Tafel,"Input: board Answer: Tafel
"
effort,Anstrengung,"Input: effort Answer: Anstrengung
"
press,Presse,"Input: press Answer: Presse
"
marriage,Ehe,"Input: marriage Answer: Ehe
"
college,Berufskolleg,"Input: college Answer: Berufskolleg
"
mass,Masse,"Input: mass Answer: Masse
"
culture,Kultur,"Input: culture Answer: Kultur
"
cyclone,Zyklon,"Input: cyclone Answer: Zyklon
"
variety,Vielfältigkeit,"Input: variety Answer: Vielfältigkeit
"
morning,Morgen,"Input: morning Answer: Morgen
"
metal,Metall,"Input: metal Answer: Metall
"
market,Markt,"Input: market Answer: Markt
"
coach,Reisebus,"Input: coach Answer: Reisebus
"
science,Wissenschaft,"Input: science Answer: Wissenschaft
"
quality,Qualität,"Input: quality Answer: Qualität
"
fall,Fall,"Input: fall Answer: Fall
"
presence,Anwesenheit,"Input: presence Answer: Anwesenheit
"
oil,Öl,"Input: oil Answer: Öl
"
direction,Richtung,"Input: direction Answer: Richtung
"
break,Break,"Input: break Answer: Break
"
rule,Regel,"Input: rule Answer: Regel
"
enemy,Feind,"Input: enemy Answer: Feind
"
yard,Hof,"Input: yard Answer: Hof
"
concert,Konzert,"Input: concert Answer: Konzert
"
engine,Motor,"Input: engine Answer: Motor
"
traffic,Verkehr,"Input: traffic Answer: Verkehr
"
advance,Vorschuss,"Input: advance Answer: Vorschuss
"
mission,Mission,"Input: mission Answer: Mission
"
portion,Teil,"Input: portion Answer: Teil
"
castle,Burg,"Input: castle Answer: Burg
"
property,Eigentum,"Input: property Answer: Eigentum
"
pair,Paar,"Input: pair Answer: Paar
"
award,Spruch,"Input: award Answer: Spruch
"
impact,Belastung,"Input: impact Answer: Belastung
"
collection,Sammlung,"Input: collection Answer: Sammlung
"
call,Ruf,"Input: call Answer: Ruf
"
port,Port,"Input: port Answer: Port
"
approach,Annäherung,"Input: approach Answer: Annäherung
"
situation,Lage,"Input: situation Answer: Lage
"
distance,Distanz,"Input: distance Answer: Distanz
"
amount,Menge,"Input: amount Answer: Menge
"
test,Examen,"Input: test Answer: Examen
"
inch,Zoll,"Input: inch Answer: Zoll
"
actor,Handelnde,"Input: actor Answer: Handelnde
"
dance,Tanz,"Input: dance Answer: Tanz
"
today,Heute,"Input: today Answer: Heute
"
train,Zug,"Input: train Answer: Zug
"
figure,Abbildung,"Input: figure Answer: Abbildung
"
trial,Verhör,"Input: trial Answer: Verhör
"
concept,Begriff,"Input: concept Answer: Begriff
"
scale,Skala,"Input: scale Answer: Skala
"
society,Gesellschaft,"Input: society Answer: Gesellschaft
"
job,Job,"Input: job Answer: Job
"
chief,Chef,"Input: chief Answer: Chef
"
foot,Fuß,"Input: foot Answer: Fuß
"
author,Autor,"Input: author Answer: Autor
"
activity,Aktivität,"Input: activity Answer: Aktivität
"
policy,Politik,"Input: policy Answer: Politik
"
cross,Kreuz,"Input: cross Answer: Kreuz
"
captain,Stabshauptmann,"Input: captain Answer: Stabshauptmann
"
theory,Theorie,"Input: theory Answer: Theorie
"
account,Konto,"Input: account Answer: Konto
"
invasion,Invasion,"Input: invasion Answer: Invasion
"
strength,Stärke,"Input: strength Answer: Stärke
"
charge,Entgelt,"Input: charge Answer: Entgelt
"
county,Landkreis,"Input: county Answer: Landkreis
"
screen,Schirm,"Input: screen Answer: Schirm
"
wall,Wand,"Input: wall Answer: Wand
"
sense,Sinn,"Input: sense Answer: Sinn
"
pilot,Pilot,"Input: pilot Answer: Pilot
"
reception,Rezeption,"Input: reception Answer: Rezeption
"
winter,Winter,"Input: winter Answer: Winter
"
wing,Flügel,"Input: wing Answer: Flügel
"
focus,Fokus,"Input: focus Answer: Fokus
"
blood,Blut,"Input: blood Answer: Blut
"
weather,Wetter,"Input: weather Answer: Wetter
"
defense,Verteidigung,"Input: defense Answer: Verteidigung
"
student,Student,"Input: student Answer: Student
"
artillery,Artillerie,"Input: artillery Answer: Artillerie
"
executive,Exekutive,"Input: executive Answer: Exekutive
"
district,Bezirk,"Input: district Answer: Bezirk
"
image,Bild,"Input: image Answer: Bild
"
share,Aktie,"Input: share Answer: Aktie
"
border,Rand,"Input: border Answer: Rand
"
capture,Fang,"Input: capture Answer: Fang
"
injury,Verletzung,"Input: injury Answer: Verletzung
"
equipment,Ausrüstung,"Input: equipment Answer: Ausrüstung
"
organization,Organisation,"Input: organization Answer: Organisation
"
stone,Stein,"Input: stone Answer: Stein
"
quarter,Vierteldollar,"Input: quarter Answer: Vierteldollar
"
growth,Wachstum,"Input: growth Answer: Wachstum
"
box,Boxhieb,"Input: box Answer: Boxhieb
"
husband,Ehemann,"Input: husband Answer: Ehemann
"
matter,Materie,"Input: matter Answer: Materie
"
content,Inhalt,"Input: content Answer: Inhalt
"
travel,Reise,"Input: travel Answer: Reise
"
heart,Herz,"Input: heart Answer: Herz
"
tournament,Turnier,"Input: tournament Answer: Turnier
"
conflict,Konflikt,"Input: conflict Answer: Konflikt
"
floor,Decke,"Input: floor Answer: Decke
"
reference,Referenz,"Input: reference Answer: Referenz
"
speech,Rede,"Input: speech Answer: Rede
"
territory,Territorium,"Input: territory Answer: Territorium
"
camp,Lager,"Input: camp Answer: Lager
"
value,Wert,"Input: value Answer: Wert
"
rainfall,Niederschlag,"Input: rainfall Answer: Niederschlag
"
championship,Meisterschaft,"Input: championship Answer: Meisterschaft
"
treatment,Behandlung,"Input: treatment Answer: Behandlung
"
university,Universität,"Input: university Answer: Universität
"
machine,Maschine,"Input: machine Answer: Maschine
"
guest,Gast,"Input: guest Answer: Gast
"
problem,Problem,"Input: problem Answer: Problem
"
reason,Grund,"Input: reason Answer: Grund
"
horse,Pferd,"Input: horse Answer: Pferd
"
governor,Regler,"Input: governor Answer: Regler
"
soundtrack,Tonspur,"Input: soundtrack Answer: Tonspur
"
offer,Angebot,"Input: offer Answer: Angebot
"
background,Hintergrund,"Input: background Answer: Hintergrund
"
degree,Grad,"Input: degree Answer: Grad
"
railway,Eisenbahnlinie,"Input: railway Answer: Eisenbahnlinie
"
authority,Autorität,"Input: authority Answer: Autorität
"
birth,Geburt,"Input: birth Answer: Geburt
"
vote,Stimme,"Input: vote Answer: Stimme
"
filming,Aufnahme,"Input: filming Answer: Aufnahme
"
escape,Flucht,"Input: escape Answer: Flucht
"
capacity,Kapazität,"Input: capacity Answer: Kapazität
"
basis,Basis,"Input: basis Answer: Basis
"
fiction,Fiktion,"Input: fiction Answer: Fiktion
"
sequence,Folge,"Input: sequence Answer: Folge
"
weight,Gewicht,"Input: weight Answer: Gewicht
"
opposition,Opposition,"Input: opposition Answer: Opposition
"
newspaper,Zeitungspapier,"Input: newspaper Answer: Zeitungspapier
"
risk,Risiko,"Input: risk Answer: Risiko
"
care,Pflege,"Input: care Answer: Pflege
"
agreement,Vereinbarung,"Input: agreement Answer: Vereinbarung
"
contrast,Kontrast,"Input: contrast Answer: Kontrast
"
failure,Versager,"Input: failure Answer: Versager
"
nation,Nation,"Input: nation Answer: Nation
"
eye,Auge,"Input: eye Answer: Auge
"
threat,Drohung,"Input: threat Answer: Drohung
"
claim,Anspruch,"Input: claim Answer: Anspruch
"
supply,Angebot,"Input: supply Answer: Angebot
"
disease,Krankheit,"Input: disease Answer: Krankheit
"
drive,Fahrt,"Input: drive Answer: Fahrt
"
draft,Musterung,"Input: draft Answer: Musterung
"
bill,Schnabel,"Input: bill Answer: Schnabel
"
tower,Turm,"Input: tower Answer: Turm
"
administration,Verwaltung,"Input: administration Answer: Verwaltung
"
personnel,Personal,"Input: personnel Answer: Personal
"
expansion,Expansion,"Input: expansion Answer: Expansion
"
hospital,Krankenhaus,"Input: hospital Answer: Krankenhaus
"
leadership,Führung,"Input: leadership Answer: Führung
"
ring,Ring,"Input: ring Answer: Ring
"
management,Verwaltung,"Input: management Answer: Verwaltung
"
landing,Treppenabsatz,"Input: landing Answer: Treppenabsatz
"
data,Daten,"Input: data Answer: Daten
"
choice,Wahl,"Input: choice Answer: Wahl
"
northwest,Nordwesten,"Input: northwest Answer: Nordwesten
"
silver,Silber,"Input: silver Answer: Silber
"
crossing,Kreuzung,"Input: crossing Answer: Kreuzung
"
fuel,Brennstoff,"Input: fuel Answer: Brennstoff
"
contact,Kontakt,"Input: contact Answer: Kontakt
"
gas,Benzin,"Input: gas Answer: Benzin
"
girl,Frau,"Input: girl Answer: Frau
"
split,Spagat ; to do the splits: Spagat machen,"Input: split Answer: Spagat ; to do the splits: Spagat machen
"
committee,Komitee,"Input: committee Answer: Komitee
"
drama,Drama,"Input: drama Answer: Drama
"
sex,Sex,"Input: sex Answer: Sex
"
spring,Sprungfeder,"Input: spring Answer: Sprungfeder
"
article,Artikel,"Input: article Answer: Artikel
"
animal,Tier,"Input: animal Answer: Tier
"
comedy,Komödie,"Input: comedy Answer: Komödie
"
paper,Papier,"Input: paper Answer: Papier
"
leg,Bein,"Input: leg Answer: Bein
"
genus,Gattung,"Input: genus Answer: Gattung
"
flag,Flag,"Input: flag Answer: Flag
"
purpose,Intention,"Input: purpose Answer: Intention
"
security,Sicherheit,"Input: security Answer: Sicherheit
"
infantry,Infanterie,"Input: infantry Answer: Infanterie
"
spread,Aufstrich,"Input: spread Answer: Aufstrich
"
search,Suche,"Input: search Answer: Suche
"
incident,Vorfall,"Input: incident Answer: Vorfall
"
mind,Verstand,"Input: mind Answer: Verstand
"
battalion,Bataillon,"Input: battalion Answer: Bataillon
"
text,Text,"Input: text Answer: Text
"
finish,Ende,"Input: finish Answer: Ende
"
critic,Kritiker,"Input: critic Answer: Kritiker
"
creation,Kreation,"Input: creation Answer: Kreation
"
mile,Meile,"Input: mile Answer: Meile
"
budget,Budget,"Input: budget Answer: Budget
"
tradition,Tradition,"Input: tradition Answer: Tradition
"
arrival,Ankunft,"Input: arrival Answer: Ankunft
"
ceremony,Zeremonie,"Input: ceremony Answer: Zeremonie
"
condition,Verfassung,"Input: condition Answer: Verfassung
"
thing,Ding,"Input: thing Answer: Ding
"
color,Farbe,"Input: color Answer: Farbe
"
intensity,Intensität,"Input: intensity Answer: Intensität
"
street,Straße,"Input: street Answer: Straße
"
session,Sitzung,"Input: session Answer: Sitzung
"
wave,Welle,"Input: wave Answer: Welle
"
piano,Klavier,"Input: piano Answer: Klavier
"
criticism,Kritik,"Input: criticism Answer: Kritik
"
planet,Planet,"Input: planet Answer: Planet
"
reign,Herrschaft,"Input: reign Answer: Herrschaft
"
murder,Mord,"Input: murder Answer: Mord
"
selection,Auslese,"Input: selection Answer: Auslese
"
computer,Computer,"Input: computer Answer: Computer
"
council,Rat,"Input: council Answer: Rat
"
comic,Comic,"Input: comic Answer: Comic
"
peace,Frieden,"Input: peace Answer: Frieden
"
opportunity,Gelegenheit,"Input: opportunity Answer: Gelegenheit
"
question,Frage,"Input: question Answer: Frage
"
analysis,Analyse,"Input: analysis Answer: Analyse
"
shooting,Schießen,"Input: shooting Answer: Schießen
"
display,Display,"Input: display Answer: Display
"
deck,Deck,"Input: deck Answer: Deck
"
advantage,Vorteil,"Input: advantage Answer: Vorteil
"
conference,Konferenz,"Input: conference Answer: Konferenz
"
fan,Fächer,"Input: fan Answer: Fächer
"
prison,Haft,"Input: prison Answer: Haft
"
host,Wirt,"Input: host Answer: Wirt
"
volume,Jahrgang,"Input: volume Answer: Jahrgang
"
protection,Schutz,"Input: protection Answer: Schutz
"
target,Zielscheibe,"Input: target Answer: Zielscheibe
"
expedition,Expedition,"Input: expedition Answer: Expedition
"
publication,Veröffentlichung,"Input: publication Answer: Veröffentlichung
"
temperature,Temperatur,"Input: temperature Answer: Temperatur
"
economy,Wirtschaft,"Input: economy Answer: Wirtschaft
"
edge,Kante,"Input: edge Answer: Kante
"
intersection,Schnittpunkt,"Input: intersection Answer: Schnittpunkt
"
motion,Bewegung,"Input: motion Answer: Bewegung
"
chance,Gelegenheit,"Input: chance Answer: Gelegenheit
"
label,Etikett,"Input: label Answer: Etikett
"
gain,Gewinn,"Input: gain Answer: Gewinn
"
element,Element,"Input: element Answer: Element
"
rear,Nachhut,"Input: rear Answer: Nachhut
"
literature,Literatur,"Input: literature Answer: Literatur
"
strike,Strike,"Input: strike Answer: Strike
"
technology,Technologie,"Input: technology Answer: Technologie
"
adult,Erwachsener,"Input: adult Answer: Erwachsener
"
resistance,Widerstand,"Input: resistance Answer: Widerstand
"
launch,Start,"Input: launch Answer: Start
"
shape,Form,"Input: shape Answer: Form
"
sign,Zeichen,"Input: sign Answer: Zeichen
"
tax,Steuer,"Input: tax Answer: Steuer
"
agent,Agens,"Input: agent Answer: Agens
"
popularity,Popularität,"Input: popularity Answer: Popularität
"
reaction,Reaktion,"Input: reaction Answer: Reaktion
"
editor,Redakteur,"Input: editor Answer: Redakteur
"
reputation,Ansehen,"Input: reputation Answer: Ansehen
"
estate,Gut,"Input: estate Answer: Gut
"
poem,Gedicht,"Input: poem Answer: Gedicht
"
southeast,Südosten,"Input: southeast Answer: Südosten
"
height,Höhe,"Input: height Answer: Höhe
"
alternative,Alternative,"Input: alternative Answer: Alternative
"
franchise,Franchise,"Input: franchise Answer: Franchise
"
opinion,Schlussanträge,"Input: opinion Answer: Schlussanträge
"
steel,Stahl,"Input: steel Answer: Stahl
"
cricket,Cricket,"Input: cricket Answer: Cricket
"
planning,Planung,"Input: planning Answer: Planung
"
lap,Schoß,"Input: lap Answer: Schoß
"
safety,Sicherheit,"Input: safety Answer: Sicherheit
"
existence,Existenz,"Input: existence Answer: Existenz
"
introduction,Einführung,"Input: introduction Answer: Einführung
"
promotion,Beförderung,"Input: promotion Answer: Beförderung
"
branch,Branche,"Input: branch Answer: Branche
"
product,Produkt,"Input: product Answer: Produkt
"
exchange,Austausch,"Input: exchange Answer: Austausch
"
defence,Verteidigung,"Input: defence Answer: Verteidigung
"
baseball,Baseball,"Input: baseball Answer: Baseball
"
platform,Plattform,"Input: platform Answer: Plattform
"
request,Bitte,"Input: request Answer: Bitte
"
moment,Moment,"Input: moment Answer: Moment
"
freeway,Autobahn,"Input: freeway Answer: Autobahn
"
crowd,Gedränge,"Input: crowd Answer: Gedränge
"
settlement,Ansiedlung,"Input: settlement Answer: Ansiedlung
"
note,Notiz,"Input: note Answer: Notiz
"
description,Beschreibung,"Input: description Answer: Beschreibung
"
method,Art und Weise,"Input: method Answer: Art und Weise
"
